InstanceID,patientID,ImageName,cellTypeName,cellType
19035,2,19035.png,fibroblast,0
19036,2,19036.png,fibroblast,0
19037,2,19037.png,fibroblast,0
19038,2,19038.png,fibroblast,0
19039,2,19039.png,fibroblast,0
19040,2,19040.png,fibroblast,0
19041,2,19041.png,fibroblast,0
19042,2,19042.png,fibroblast,0
19043,2,19043.png,inflammatory,1
19044,2,19044.png,inflammatory,1
19045,2,19045.png,inflammatory,1
19046,2,19046.png,inflammatory,1
19047,2,19047.png,inflammatory,1
19048,2,19048.png,inflammatory,1
19049,2,19049.png,inflammatory,1
19050,2,19050.png,inflammatory,1
19051,2,19051.png,inflammatory,1
19052,2,19052.png,inflammatory,1
19053,2,19053.png,inflammatory,1
19054,2,19054.png,inflammatory,1
19055,2,19055.png,inflammatory,1
19056,2,19056.png,inflammatory,1
19057,2,19057.png,inflammatory,1
19058,2,19058.png,inflammatory,1
19059,2,19059.png,inflammatory,1
19060,2,19060.png,inflammatory,1
19061,2,19061.png,others,3
19062,2,19062.png,others,3
19063,2,19063.png,others,3
19064,2,19064.png,others,3
19066,2,19066.png,others,3
19067,2,19067.png,others,3
19068,2,19068.png,others,3
18812,3,18812.png,fibroblast,0
18813,3,18813.png,fibroblast,0
18814,3,18814.png,fibroblast,0
18815,3,18815.png,fibroblast,0
18816,3,18816.png,fibroblast,0
18817,3,18817.png,fibroblast,0
18818,3,18818.png,fibroblast,0
18819,3,18819.png,fibroblast,0
18820,3,18820.png,fibroblast,0
18821,3,18821.png,fibroblast,0
18822,3,18822.png,fibroblast,0
18823,3,18823.png,fibroblast,0
18824,3,18824.png,fibroblast,0
18825,3,18825.png,fibroblast,0
18826,3,18826.png,fibroblast,0
18827,3,18827.png,fibroblast,0
18828,3,18828.png,fibroblast,0
18830,3,18830.png,fibroblast,0
18832,3,18832.png,fibroblast,0
18833,3,18833.png,fibroblast,0
18834,3,18834.png,fibroblast,0
18835,3,18835.png,fibroblast,0
18836,3,18836.png,fibroblast,0
18837,3,18837.png,fibroblast,0
18838,3,18838.png,fibroblast,0
18839,3,18839.png,fibroblast,0
18840,3,18840.png,fibroblast,0
18841,3,18841.png,fibroblast,0
18842,3,18842.png,fibroblast,0
18843,3,18843.png,fibroblast,0
18844,3,18844.png,fibroblast,0
18845,3,18845.png,fibroblast,0
18846,3,18846.png,fibroblast,0
18847,3,18847.png,fibroblast,0
18848,3,18848.png,fibroblast,0
18849,3,18849.png,fibroblast,0
18850,3,18850.png,fibroblast,0
18851,3,18851.png,fibroblast,0
18852,3,18852.png,fibroblast,0
18853,3,18853.png,fibroblast,0
18854,3,18854.png,fibroblast,0
18855,3,18855.png,fibroblast,0
18856,3,18856.png,fibroblast,0
18857,3,18857.png,fibroblast,0
18858,3,18858.png,fibroblast,0
18859,3,18859.png,fibroblast,0
18861,3,18861.png,fibroblast,0
18862,3,18862.png,fibroblast,0
18863,3,18863.png,fibroblast,0
18865,3,18865.png,fibroblast,0
18866,3,18866.png,fibroblast,0
18867,3,18867.png,fibroblast,0
18868,3,18868.png,fibroblast,0
18869,3,18869.png,inflammatory,1
18870,3,18870.png,inflammatory,1
18871,3,18871.png,inflammatory,1
18872,3,18872.png,inflammatory,1
18873,3,18873.png,inflammatory,1
18874,3,18874.png,inflammatory,1
18875,3,18875.png,inflammatory,1
18876,3,18876.png,inflammatory,1
18877,3,18877.png,inflammatory,1
18878,3,18878.png,inflammatory,1
18879,3,18879.png,inflammatory,1
18880,3,18880.png,inflammatory,1
18881,3,18881.png,inflammatory,1
18882,3,18882.png,inflammatory,1
18885,3,18885.png,inflammatory,1
18886,3,18886.png,inflammatory,1
18887,3,18887.png,inflammatory,1
18888,3,18888.png,inflammatory,1
18889,3,18889.png,inflammatory,1
18890,3,18890.png,inflammatory,1
18891,3,18891.png,inflammatory,1
18892,3,18892.png,inflammatory,1
18893,3,18893.png,inflammatory,1
18894,3,18894.png,inflammatory,1
18895,3,18895.png,inflammatory,1
18896,3,18896.png,inflammatory,1
18897,3,18897.png,inflammatory,1
18898,3,18898.png,inflammatory,1
18899,3,18899.png,inflammatory,1
18900,3,18900.png,inflammatory,1
18901,3,18901.png,inflammatory,1
18902,3,18902.png,inflammatory,1
18903,3,18903.png,inflammatory,1
18904,3,18904.png,inflammatory,1
18905,3,18905.png,inflammatory,1
18906,3,18906.png,inflammatory,1
18907,3,18907.png,inflammatory,1
18908,3,18908.png,inflammatory,1
18909,3,18909.png,inflammatory,1
18910,3,18910.png,inflammatory,1
18911,3,18911.png,inflammatory,1
18912,3,18912.png,inflammatory,1
18913,3,18913.png,inflammatory,1
18914,3,18914.png,inflammatory,1
18915,3,18915.png,inflammatory,1
18916,3,18916.png,inflammatory,1
18917,3,18917.png,inflammatory,1
18918,3,18918.png,inflammatory,1
18919,3,18919.png,inflammatory,1
18920,3,18920.png,inflammatory,1
18921,3,18921.png,inflammatory,1
18922,3,18922.png,inflammatory,1
18923,3,18923.png,inflammatory,1
18924,3,18924.png,inflammatory,1
18925,3,18925.png,inflammatory,1
