InstanceID,patientID,ImageName,cellTypeName,cellType,isCancerous,ImagePath,combined_label
19035,2,19035.png,fibroblast,0,0,./data/preprocessed/train/19035.png,0_0
19036,2,19036.png,fibroblast,0,0,./data/preprocessed/train/19036.png,0_0
19037,2,19037.png,fibroblast,0,0,./data/preprocessed/train/19037.png,0_0
19038,2,19038.png,fibroblast,0,0,./data/preprocessed/train/19038.png,0_0
19039,2,19039.png,fibroblast,0,0,./data/preprocessed/train/19039.png,0_0
19040,2,19040.png,fibroblast,0,0,./data/preprocessed/train/19040.png,0_0
19041,2,19041.png,fibroblast,0,0,./data/preprocessed/train/19041.png,0_0
19042,2,19042.png,fibroblast,0,0,./data/preprocessed/train/19042.png,0_0
19043,2,19043.png,inflammatory,1,0,./data/preprocessed/train/19043.png,1_0
19044,2,19044.png,inflammatory,1,0,./data/preprocessed/train/19044.png,1_0
19045,2,19045.png,inflammatory,1,0,./data/preprocessed/train/19045.png,1_0
19046,2,19046.png,inflammatory,1,0,./data/preprocessed/train/19046.png,1_0
19047,2,19047.png,inflammatory,1,0,./data/preprocessed/train/19047.png,1_0
19048,2,19048.png,inflammatory,1,0,./data/preprocessed/train/19048.png,1_0
19049,2,19049.png,inflammatory,1,0,./data/preprocessed/train/19049.png,1_0
19050,2,19050.png,inflammatory,1,0,./data/preprocessed/train/19050.png,1_0
19051,2,19051.png,inflammatory,1,0,./data/preprocessed/train/19051.png,1_0
19052,2,19052.png,inflammatory,1,0,./data/preprocessed/train/19052.png,1_0
19053,2,19053.png,inflammatory,1,0,./data/preprocessed/train/19053.png,1_0
19054,2,19054.png,inflammatory,1,0,./data/preprocessed/train/19054.png,1_0
19055,2,19055.png,inflammatory,1,0,./data/preprocessed/train/19055.png,1_0
19056,2,19056.png,inflammatory,1,0,./data/preprocessed/train/19056.png,1_0
19057,2,19057.png,inflammatory,1,0,./data/preprocessed/train/19057.png,1_0
19058,2,19058.png,inflammatory,1,0,./data/preprocessed/train/19058.png,1_0
